x_mm,ch_id,ch_pos_mm,n,mean_tn_ns,rms_tn_ns,stat_floor_ns,mean_npe
0,50,-12.0,10,0.568483,0.083687,0.014001,406.5570
0,50,-12.0,11,0.591696,0.079478,0.014684,406.5570
0,50,-12.0,12,0.612972,0.077480,0.015337,406.5570
0,50,-12.0,13,0.632962,0.077286,0.015963,406.5570
0,50,-12.0,14,0.651777,0.077934,0.016566,406.5570
0,50,-12.0,15,0.669541,0.078962,0.017147,406.5570
0,50,-12.0,16,0.687343,0.079927,0.017710,406.5570
0,50,-12.0,17,0.704797,0.080926,0.018255,406.5570
0,50,-12.0,18,0.721083,0.082042,0.018784,406.5570
0,50,-12.0,19,0.737484,0.082739,0.019299,406.5570
0,50,-12.0,20,0.753053,0.083295,0.019800,406.5570
0,51,12.0,1,0.350746,0.008980,0.004420,407.2745
0,51,12.0,2,0.356735,0.023179,0.006250,407.2745
0,51,12.0,3,0.368190,0.042144,0.007655,407.2745
0,51,12.0,4,0.388607,0.062431,0.008839,407.2745
0,51,12.0,5,0.418766,0.079401,0.009883,407.2745
0,51,12.0,6,0.451015,0.089798,0.010826,407.2745
0,51,12.0,7,0.484443,0.093418,0.011693,407.2745
0,51,12.0,8,0.516118,0.092436,0.012501,407.2745
0,51,12.0,9,0.545818,0.088331,0.013259,407.2745
0,51,12.0,10,0.571850,0.083559,0.013976,407.2745
0,51,12.0,11,0.594514,0.080072,0.014658,407.2745
0,51,12.0,12,0.614613,0.078516,0.015310,407.2745
0,51,12.0,13,0.634267,0.077291,0.015935,407.2745
0,51,12.0,14,0.653131,0.077384,0.016537,407.2745
0,51,12.0,15,0.670903,0.078029,0.017117,407.2745
0,51,12.0,16,0.688961,0.079040,0.017678,407.2745
0,51,12.0,17,0.705798,0.080012,0.018223,407.2745
0,51,12.0,18,0.722474,0.080469,0.018751,407.2745
0,51,12.0,19,0.738365,0.080656,0.019265,407.2745
0,51,12.0,20,0.754605,0.081068,0.019765,407.2745
0,52,32.0,1,0.403750,0.028620,0.006373,282.4420
0,52,32.0,2,0.428419,0.060231,0.009013,282.4420
0,52,32.0,3,0.467875,0.085790,0.011038,282.4420
0,52,32.0,4,0.516542,0.098265,0.012746,282.4420
0,52,32.0,5,0.562934,0.100959,0.014250,282.4420
0,52,32.0,6,0.603093,0.098236,0.015611,282.4420
0,52,32.0,7,0.638667,0.093771,0.016861,282.4420
0,52,32.0,8,0.670032,0.092812,0.018026,282.4420
0,52,32.0,9,0.699021,0.093301,0.019119,282.4420
0,52,32.0,10,0.727249,0.093791,0.020153,282.4420
0,52,32.0,11,0.752592,0.093185,0.021137,282.4420
0,52,32.0,12,0.776414,0.093239,0.022077,282.4420
0,52,32.0,13,0.799926,0.093366,0.022978,282.4420
0,52,32.0,14,0.822118,0.093194,0.023846,282.4420
0,52,32.0,15,0.843874,0.093333,0.024682,282.4420
0,52,32.0,16,0.864436,0.094003,0.025492,282.4420
0,52,32.0,17,0.883338,0.094427,0.026277,282.4420
0,52,32.0,18,0.902017,0.095657,0.027038,282.4420
0,52,32.0,19,0.920458,0.096855,0.027779,282.4420
0,52,32.0,20,0.938604,0.098583,0.028501,282.4420
0,53,52.0,1,0.494172,0.062329,0.009189,195.8835
